主文/留言,作者,時間,標題,推/噓,內容
回覆,AxelGod,2022/2/27 08:19,[新聞] 快訊／美英歐聯合聲明：未來幾天將把俄쌱,推,抄底俄羅斯相關的直接死去
回覆,jimmyfk,2022/2/27 11:45,[新聞] 快訊／美英歐聯合聲明：未來幾天將把俄쌱,推,"選定的這幾天時間可能是給特定人士逃離,之後就沒機會了"
回覆,pyhsi,2022/2/27 11:59,[新聞] 快訊／美英歐聯合聲明：未來幾天將把俄쌱,推,"只要世界還是需要俄羅斯的原物料,普丁沒在怕的吧"
回覆,Answerme,2022/2/27 12:06,[新聞] 快訊／美英歐聯合聲明：未來幾天將把俄쌱,無,榮耀歸烏克蘭
回覆,moom50302,2022/2/27 12:06,榮耀歸烏克蘭,推,原物料會從效益至上轉成戰時狀況，所以俄羅斯…
回覆,icelaw,2022/2/27 15:27,[新聞] 快訊／美英歐聯合聲明：未來幾天將把俄쌱,推,這幾年的大多頭把太多人寵壞了 以為只要跌深就會反彈跌深買進就是賺錢密碼 殊不知所謂的風險就是有可能是發生所以才叫風險 為什麼有些人看到風險會閃 而不是去接盤就是因為一但真的爆了 你過去自以為很勇敢 搶接盤的績效會一次吐光光 一次歸零而且這次俄羅斯的股市 將面臨超長期的 再起不能 崩盤後不要幻想會有什麼V轉 U轉要搶反彈 也要搞清楚莊家是誰? 之前發起戰爭的是美國是大莊家 誰敢制裁大莊家? 所以自然開戰後就是起漲點但這次是反過來喔如果只看過去資料就貿然斷定 開戰就是起漲點 就是財富密碼就只是個 倒果為因的看法而已  實在是太天真了
回覆,ketter,2022/2/27 18:08,[新聞] 快訊／美英歐聯合聲明：未來幾天將把俄쌱,推,獨裁國家市場真是不宜買 中國 俄羅斯
主文,charles0939 (charles0939),2022/2/26 23:45,[新聞] 俄烏開打 金融三業+國人投資基金曝險2179,無,"俄烏開打 金融三業+國人投資基金曝險2179億元
鉅亨網記者陳蕙綾 台北2022/02/25 11:47
俄烏開打 金融三業+國人投資基金曝險2179億元。
俄烏戰事開打，據金管會最新統計，金融三業加上國人持有基金曝險金額，累計達 2179 
億元，其中金融三業曝險月減 5.9%。
截至今 (2022) 年 1 月底，保險業投資俄羅斯有 1382 億元，低於去年低的 1470 億元
，金管會表示，目前尚看不出是投資減碼還是因市場波動導致市值減少；至於對烏克蘭部
分則無投資。
銀行部分，國銀對俄羅斯授信 6400 萬、投資金額 50.38 億，烏克蘭曝險則為 300 萬。
在證券期貨業方面，截至今年 1 月底為止，我國證券期貨公司對俄羅斯及烏克蘭皆無曝
險金額。
因此，金融三業 (銀行、保險及證券業) 合計對俄烏曝險 1433.05 億元，較去年 12 月
的 1522.91 億元、月減幅為 5.9%。
至於國人投資基金的曝險狀況，據證期局統計，國人有透過投信業者持有當地的基金，統
計到去年 12 月底，國人透過境內基金在俄羅斯持有金額達 198 億，占基金淨值 0.4%；
透過境外基金持有約 354 億，淨值占比為 0.61%。
至於烏克蘭，國人透過國內投信基金持有 44 億，占規模 0.09%；境外基金則是 150 億
，相關基金規模占比為 0.38%。
證期局副局長郭佳君表示，俄烏開戰，我國以俄羅斯為主要投資國家的基金僅 1 檔，雖
然比重超過 7 成，但這檔並不是直接向俄羅斯交易所投資，而是在美國、英國掛牌的 AD
R、GDR，雖然莫斯科交易所暫停交易但並不影響投資人，投資人仍可正常申購與贖回。
https://news.cnyes.com/news/id/4820146
有大大買俄羅斯基金嗎？？
https://i.imgur.com/OpHWt2O.jpg"
回覆,yamitis,2022/2/26 23:56,[新聞] 俄烏開打 金融三業+國人投資基金曝險2179,無,我想到就有瑞銀、法巴、摩根俄羅斯，怎麼會只有一檔
回覆,peaceever,2022/2/26 23:56,我想到就有瑞銀、法巴、摩根俄羅斯，怎麼會只有一檔,推,應該是台灣註冊的意思  野村大俄羅斯
主文,NYYLG (欲戴王冠 必承其重),2022/2/26 12:32,[問題] 元大高息低波ETF(00713),無,"現在在元大投信網站無法下單買這檔基金耶

要下單時可選擇的基金中找不到這檔基金

請問是怎麼回事

謝謝

"
回覆,pupuliao,2022/2/26 13:17,[問題] 元大高息低波ETF(00713),推,兄弟 他是ETF 請去股市購買你想跟投信下單最少要買500張喔
主文,mctsau (owo818),2022/2/25 12:54,[問題] 戰爭開打，版上大大們的避險方式?,無,"請問版上大大們遇到這種股市大跌都是怎麼避險的呀?
避險的方式主要將資產配置在股，債，不動產等不同的資產達到分散風險嗎?或是將資產
分散在不同地區的市場等?
資金流入債市，黃金價格也上漲
請問大大們平常就會分散一部份資產到債券基金或是黃金嗎?
或是版上大大們會建議可能在基金的選購上就可以直接選擇平衡型的基金?
(這樣好像更方便...?
在基富通上面看平衡型的基金績效好像也不差
這樣買長期放著的，突然遇到股災
配置平衡型的基金會不會比買純債基要來的好?"
回覆,hij76128,2022/2/25 13:03,[問題] 戰爭開打，版上大大們的避險方式?,推,無腦定期定額就好 一招打天下
回覆,highleip,2022/2/25 13:42,[問題] 戰爭開打，版上大大們的避險方式?,無,現金
回覆,Radiomir,2022/2/25 13:42,現金,推,"有擇時能力直接去玩期貨賺更多; 反之把配置調到睡得著你會睡不著就是目前的配置不適合你, 趁機好好調整一下"
回覆,dowcher,2022/2/25 15:15,[問題] 戰爭開打，版上大大們的避險方式?,推,天天都便宜就大筆大筆買啊，不然韭菜專門買刀嗎？對了，我跟眾韭菜是死命對作的別人恐懼我全家貪婪不要整天存骨灰，賺飽該跑要跑，便宜再買回亂世之中，年年都有好時機，上次就是負油價
回覆,hirono,2022/2/25 16:02,[問題] 戰爭開打，版上大大們的避險方式?,推,高風險高獲利，但要忍住不要梭哈，請至少保留20%救命錢
回覆,winterstroll,2022/2/25 18:24,[問題] 戰爭開打，版上大大們的避險方式?,推,政府債券的基金應該也可以避險？鉅亨上有個富蘭政府基金應該就是政府的債券，應該比一般高收益債穩吧
回覆,mathlover,2022/2/25 18:32,[問題] 戰爭開打，版上大大們的避險方式?,推,加碼啦
回覆,ketter,2022/2/25 18:47,[問題] 戰爭開打，版上大大們的避險方式?,推,定期定額 睏保數錢
回覆,ulan,2022/2/25 21:39,[問題] 戰爭開打，版上大大們的避險方式?,推,買全餐 全部都加碼
回覆,candyrain821,2022/2/25 21:45,[問題] 戰爭開打，版上大大們的避險方式?,推,富貴險中求
回覆,dowcher,2022/2/25 22:05,[問題] 戰爭開打，版上大大們的避險方式?,推,長痛不如短痛一次跌一跌，不然我還要年度回顧
回覆,ntoufatman,2022/2/26 10:26,[問題] 戰爭開打，版上大大們的避險方式?,無,買跌深看好的標的避險，便宜買起來就是爽。
回覆,charles0939,2022/2/26 10:26,買跌深看好的標的避險，便宜買起來就是爽。,推,持續定期定額
回覆,winterstroll,2022/2/27 00:01,[問題] 戰爭開打，版上大大們的避險方式?,無,抱歉我11樓有誤，哆啦王幾個月前回文有提到那支基金的詳細資料，整體而言是不推薦，不好意思QQ
回覆,akirapai,2022/2/27 00:01,[問題] 戰爭開打，版上大大們的避險方式?,無,一直買呀，反正現在怎樣都不停創新高
回覆,francisou,2022/2/27 00:01,一直買呀，反正現在怎樣都不停創新高,推,ALLIN刪APP
回覆,zx7957,2022/3/9 02:25,[問題] 戰爭開打，版上大大們的避險方式?,無,繼續定期定額觀望
回覆,hsu30228,2022/3/9 02:25,繼續定期定額觀望,推,"認真問NFT,加密會不會其實是避險的好工具"
主文,manygod (阿多),2022/3/2 23:16,[問題] 境外基金淨值疑問,無,"上網查過淨值約開盤一個小時切盤
23號開盤小漲收盤急跌
24號開盤小跌收牌急漲
照理說24號經過23日大跌，24日開盤又小跌，淨值應該是很低才對
這隻富蘭克林怎麼會漲5%呢
貝萊德的成分股大致相同卻跌4%呢
還好昨天加碼貝萊德...
https://i.imgur.com/p1T7eoe.jpg
"
回覆,stillstands,2022/2/25 09:58,[問題] 境外基金淨值疑問,無,"富蘭克林好像是當天收盤計算淨值,摩根是美股開盤後1時半切盤!"
回覆,manygod,2022/2/25 09:58,[問題] 境外基金淨值疑問,無,謝謝 解惑
回覆,jimmyfk,2022/2/25 09:58,謝謝 解惑,推,"開盤1小時左右切的對投資人較有利(好猜漲跌), 反之不利"
回覆,arvalis,2022/2/25 13:42,[問題] 境外基金淨值疑問,推,想問法巴這兩天都沒有更新淨值，申購的話，是依據什麼時候的淨值？
回覆,vip681102,2022/2/26 17:33,[問題] 境外基金淨值疑問,推,摩根俄羅斯23日淨值怎麼算出來的7.61
主文,dowcher (dowcher),2022/2/24 15:23,Re: [問題] 法巴能源轉型去留,無,"各位觀眾，韭菜最愛的骨灰塔正式腰斬今天淨值114，先知一年前就說了幾百次了，關鍵
字：眼紅、自慰、存骨灰、套10年、世礦2.0。
人多的地方不要去，人多的地方就是窮人的聚集地，窮人集體高潮幻想要賭一把脫貧的地
方就是一座靈骨塔。
這世上會成群結隊取暖的生物都是弱小心靈脆弱的，如果多數人的共識，不經過大腦獨立
思考的共識是對的，這世上就會變成窮人是少數有錢人滿大街，怎麼可能，這世上就沒有
公平正義了，幸好，時間檢驗窮人的集體共識都是錯到底的。
眼紅韭菜們不要哭倒在廁所喔，早就說了世礦2.0複製貼上，永遠都會複製不完類似的例
子，因為人類多數就是這麼愚蠢，先預告：美增、特斯拉、ark早就腰斬到地獄了，只要
腰斬會一起留證據在板上的，希望能救一個韭菜或未來流著韭菜dna的是一個。
※ 引述《yaichenche (Yao)》之銘言：
: 半夜盯盤美股，無聊逛一下PTT....
: 我沒有買施羅德，但是有買ICLN跟貝萊德能源，
: 我的想法是對做，都是去年進場的。
: 有人問我怎不買XLE就好?
: 因為我想一個扣美金，一個扣台幣，一樣是對做的概念。
: 今天 ICLN 與 XLE 死亡交叉，但不表示未來也是如此。
: https://i.imgur.com/6cj4odb.jpg
: 好奇比較一下推文中的標的，
: 也就是施羅德能源 vs 法巴
: 不過我覺得這樣比是張飛打岳飛就是了
: 個人是不會這樣衡量標的物的好壞。
: 我只能說ICLN長期是贏XLE的，
: 基金對應的就是法巴長期是贏施羅德的
: https://i.imgur.com/teMJvfY.jpg
: 不管怎樣，以後我也不太會回文分享了，
: 最近感覺版上的風氣較多的是理論派 and 短期仔
: 較少的是線圖心得討論或拿出真金白銀牛肉分享
: 拿一兩周的跌幅來否定長期領先的事實。
: 既然是基金版，應該是要賺波段賺長期。
: 不然就去買個股就好了...
: 推 dowcher: 早說了 今天跌快8％                                     02/26 13:
11
: → dowcher: 全都是泡沫                                             02/26 13:
12
: 推 dowcher: 跌快8塊 搜瑞                                           02/26 13:
14
: → dowcher: 只有施羅德能源狂飆                                     02/26 13:
24
: 能源現在有兩類 一類是傳統石油公司股 一類是轉型能源（綠能），不能這樣比吧
: 法巴跟施羅德能源不是apple to apple
: → dowcher: 我全家只有抄底3到4塊的施羅德能源 現在連疫情前都不到呢  02/26 19:
45
: → dowcher: 就是不同才拿出來讓大家眼紅啊                           02/26 19:
54
:
: 既然D大不介意不同領域比較績效..
: 那就假設大大完美抄底，施羅德買在近年最低點，
: 20200319，淨值3.64。
: 比較相同區間(20200319~20210308)，同時進場法巴vs施羅德
: 如果大大進場的是法巴會讓大家更眼紅
: https://i.imgur.com/gRgerUl.jpg
: 推 dowcher: 多買一點啊 不是不怕 笑死                               03/05 23:
36
:
: 不怕，去年有進場的現在還是正報酬，3/5號還加碼，今天反彈喔!
: https://i.imgur.com/Z15UlMq.jpg
: → dowcher: 等著套10年                                             03/05 23:
36
:
: 10年前買施羅德，今年剛好套滿10年。
: https://i.imgur.com/csJDdbL.jpg"
回覆,dowcher,2022/2/24 15:23,Re: [問題] 法巴能源轉型去留,無,https://i.imgur.com/66ZF1Cr.jpg
回覆,girld,2022/2/24 16:55,Re: [問題] 法巴能源轉型去留,無,我先
回覆,tudaer,2022/2/24 17:23,Re: [問題] 法巴能源轉型去留,無,你壓身家去放空了嗎？ -50% 應該賺翻了，好羨慕
回覆,dowcher,2022/2/24 17:23,Re: [問題] 法巴能源轉型去留,無,又是一堆眼紅嘴巴說要黑單我身體一直跟蹤我的https://i.imgur.com/DnnpHMp.jpg施羅德都賺幾倍了， 眼紅喔謝謝絕命反指標恩人讓我離靈骨塔有多遠
回覆,kiromomo168,2022/2/24 17:23,又是一堆眼紅嘴巴說要黑單我身體一直跟蹤我的https://i.imgur.com/DnnpHMp.jpg施羅德都賺幾倍了， 眼紅喔謝謝絕命反指標恩人讓我離靈骨塔有多遠,無,我有買一些美增在24X，就放著不然也不能怎樣了。
回覆,qozxcv,2022/2/24 19:36,Re: [問題] 法巴能源轉型去留,無,舒服，繼續加碼
回覆,dowcher,2022/2/24 19:36,舒服，繼續加碼,無,https://i.imgur.com/Z0z2bCN.jpg歡迎對做 嘻嘻 板上跟我對做的都...只要多的是你們這些沒辦法面對現實的就跌不停，這段請用螢光筆劃起來，笑死
回覆,dobedobedo,2022/2/25 14:41,Re: [問題] 法巴能源轉型去留,無,要發幾篇啊?這算不算洗板?
回覆,shimax,2022/2/28 21:19,Re: [問題] 法巴能源轉型去留,無,https://i.imgur.com/awWODQl.jpg你還是先擔心俄股被關廁所怎麼辦吧
回覆,Filco,2022/2/28 22:20,Re: [問題] 法巴能源轉型去留,無,等ICLN 漲贏XLE後，先知大概率會說已經出掉了
回覆,qozxcv,2022/3/1 13:54,Re: [問題] 法巴能源轉型去留,無,3天漲16％  舒服
回覆,dowcher,2022/3/1 13:54,3天漲16％  舒服,無,盧布漲了一倍喔 眼紅玻璃心又要崩潰了謝謝截圖你先擔心眼紅藥缺貨怎麼辦又要創新低了喔，原來是追高仔啊，難怪眼紅成這樣，笑死https://i.imgur.com/pD6JimA.jpg追高攤平難怪氣成這樣 笑死去年5月就一直接刀 哈哈哈哈哈哈哈哈哈哈不用擔心我的xle已經全都換成盧布了，我賺那麼多倍入袋為安了，誰要存骨灰阿 笑死骨灰是那些追高套牢不願面對現實自慰狂用來自慰沒賣沒賠的
主文,qazmomo0314 (ㄇㄇ),2022/2/24 11:48,[新聞] 民眾自主與退休規畫 基金投資大轉變,無,"1.原文連結：https://bit.ly/3LYphGY
2.內容：
民眾自主與退休規畫 基金投資大轉變
2022年2月23日
【記者柯安聰台北報導】根據投信投顧公會的最新統計資料，去(2021)年12月份的投信基
金規模創下歷史新高達到4兆9554億元，同時，累計去年的投信基金規模淨增加亦超過
4000億元，增幅達到9.56%。財富管理市場日益蓬勃下，投信投顧業未來正面臨三大轉變
新趨勢，首先是2025年即將進入超高齡社會，民眾自主參與退休規劃的心態產生變革，以
及數位理財、普惠金融漸趨成熟與參與投資人年輕化，最後是ESG發展備受關注，臺灣的
財富管理市場出現新的微笑曲線，同時面臨世代翻轉與永續投資的重大改變。
有鑑於現今總體環境與地緣政治變化劇烈，投信投顧公會為了解國人當前對共同基金的投
資態度、勞退新制自選平台的參與意願、以及ESG對民眾投資決策的影響，去年12月份收
集1220份有關共同基金投資的問卷調查結果，並得出以下幾點重大結論：
首先，除了儲蓄與股票之外，民眾的投資理財工具以ETF與共同基金為主，且對於這兩種
商品的信任程度都超過7分(滿分10分)以上，取得共同基金的相關資訊來源主要仍是傳統
銀行的理財專員，但隨著社群媒體的重要性日漸提升，民眾主要藉由網站/論壇、專家名
人(如理財專家、網路名人、知名部落客等)來瞭解ETF。而且50歲以下的投資人，投資媒
介的主要工具以電腦網頁和行動裝置下單為主，說明未來財富管理的場景運用仍是第1個
決勝點。
其次，民眾投資共同基金的主要方式，大多以不擇時的定期定額多次1檔模式為主，而選
擇共同基金的標準主要是參考公司信賴度、過往績效與優惠活動來決定，但是進一步釐清
民眾對於AI機器人智能投資的看法，亦可發現民眾真正期待的投資模式是1次多檔的資產
配置，甚至未來若結合智能化到再平衡(rebalance)調整機制能有多次多檔模式，亦即運
用人工智慧(AI)，就能從原本財富管理的金融商品升級為解決方案，從標準化服務變成客
製化服務，即是進入2.0財富管理AI FinTech的時代。
第三個重要發現係有71%的受訪者會考慮投資以環境、社會及公司治理（ESG）為主題的共
同基金。根據統計，截至去年第3季底，台灣ESG相關之基金資產規模已將近1500億元台幣
，說明結合ESG主題概念的ETF或共同基金已獲國內投資人青睞。
最後調查有關退休規畫與勞退新制，受訪民眾認為應該開始準備退休金的年齡中位數為40
，平均數為38，說明國人開始進行退休準備有明顯年輕化的趨勢，同時有6成的民眾已開
始準備退休金，主要還是透過儲蓄(75%)、股票(69%)和個人保險(61%)進行規劃，共同基
金與ETF只各佔1/3，其中年紀越小越偏好ETF，年紀越大則偏好共同基金，且以固定收益
型基金為主，說明年紀越大越保守，選擇的退休投資工具越侷限，產生的複利效果也越弱
。
至於每個月的理想退休生活開銷最多民眾認為介於30001~50000元，換算起來退休所得替
代率，至少要達到主計處公布2020年全體受雇員工每月總薪資平均5.4萬的6成以上，但驚
訝的是本次調查20~29歲族群認為理想退休生活開銷是介於10001~30000元的比例高達近5
成，此區間不足於應付未來的實際開銷，明顯低估了退休金準備，這也表現在20~29歲族
群有48%的受訪者、30~39歲族群有40%的受訪者表示沒信心達到理想退休生活，其主要原
因是擔心收入不穩定、目前資金不足，無法儲蓄以及擔心未來醫療的龐大支出。
因此，投信投顧公會建議青壯族群應該盡早進行退休理財規劃，舉例來說，以25歲年輕人
，每月提撥6000元作為退休投資規劃準備，假設年平均報酬率為4%~6%，到65歲退休時可
以存下700萬到1200萬，以最新2020年國人的平均壽命為81歲計算，假設年平均報酬率為
2%，16年的退休生活期間，每月的生活費就可達到30001~50000元之間，因此只要提早開
始準備，確實是可以有系統地達成理想退休目標，所以政府與相關金融業者應該可以更積
極協助民眾提早佈局退休規劃，基富通的好享退平台模式就是一個很好的例子。
本次調查也發現，有高達70%受訪民眾願意參加勞退自選投資平台，與前年(2020年，72%)
的結果很相似。本次調查中，民眾願意參加勞退自選投資平台的主要原因：有72%認為是
可以依照自己狀況選擇投資工具，且46%相信長期下來也會有更好的績效，而30%不願意參
加的主要原因除了有56%擔心賠錢之外，30%是不知如何選擇標的與30%是不具備相關金融
知識與投資經驗，其實這樣的結果也突顯本次調查中，民眾願意進行智能投資的主要三大
原因，包括：機器人24小時主動監控市場風險與績效變化，投資免傷神，以及當市場震盪
使資產配置比例失衡時，自動啟動再平衡調整機制，維持最適投資組合和量身打造個人化
資產配置組合，省去選股煩惱。
政府應該提供好的自選投資平台，讓民眾有自行選擇投資理財商品的權利
總結來說，面對超高齡社會的即將到來，由於擔心自身退休金準備不足的問題，青壯年已
認知需提早學習好好變老，因此對於有投資經驗的民眾，政府應該開放勞退自選平台，讓
民眾有類似好享退具有自行選擇投資理財商品的權利，至於不懂投資理財的民眾，其實就
可以按照自身年齡的Life-Cycle預選策略模式，年紀輕就選擇積極型的基金，中年時期就
選擇穩健型的基金，進入老年時期就選保守型的基金，相信此舉不僅能提升民眾自願提撥
的意願，及早做好退休規劃，提高長期投資績效與分散風險，達成政府、民眾與業者三贏
的局面。
投信投顧業者配合未來2.0財富管理市場的發展趨勢，除了持續把效率提升成本降低，做
好風險管理、產品創新、法規突破、客戶服務、市場推廣之外，也應積極配合超高齡社會
發展退休資產管理，在勞退新制上，協助政府在勞退新制上透過系統設計與稅賦優惠，增
加勞工自動提撥比率，擴大勞退自選投資平台的範圍與民眾自主選擇理財商品的彈性。
其次，近年隨著年輕人理財風潮的盛起，以及Covid-19疫情加速數位消費的變革，金融科
技與人工智慧在財富管理市場的應用將扮演至關重要的角色，開展以投資者為中心的運營
模式，提升更多服務的價值加乘(value-added)，進而體現普惠金融的意義與價值。
最後，如何進一步提升民眾對於金融素養的認識亦為關鍵，投信投顧業者應更深入且廣泛
提供不同群眾所需的金融教育，並鼓勵金融翻轉教學與教具創新，協助民眾瞭解共同基金
等金融商品及提升投信投顧業者金融服務的能力。（自立電子報2022/2/22）"
回覆,f0923818148,2022/2/24 18:53,[新聞] 民眾自主與退休規畫 基金投資大轉變,推,早點參加好好退休早點準備退休金啊~~不要到快退休了才想到自己沒有退休金
回覆,iqmen2003,2022/2/25 11:38,[新聞] 民眾自主與退休規畫 基金投資大轉變,推,好享退可以作為勞退自選不錯的參照
