主文/留言,作者,時間,標題,內容
留言,建國科技大學,2022/2/28 18:00,怎麼開始自立自強,你還是跟家裡好好溝通不要想著能賺錢存錢，現階段你是存不了多少的，打工頂多支撐平常的生活開銷罷了，光是6000房租繳出去你剩下的錢日常開銷就花的差不多了，我現在工作一天8 9小時有時候甚至更久，因為我是做晚班，為了賺錢累到早上一直缺課被扣考，連在學店能不能畢業都成問題，你還是專心讀書吧
留言,德明財經科技大學,2022/3/1 11:13,怎麼開始自立自強,看要不要先和家裡溝通先幫忙付學費，之後再慢慢還，不然你還要付房租和生活費怕是打工也沒辦法負擔
主文,輸入你的卡稱,2022/2/26 08:40,人生第一支基金,"如題，這是人生第一支基金，
本身沒有數字概念，對於理財部份也是，
但總是想著要如何投資。
因緣際會下認識了一個大哥，
他教了我一些東西，
雖然懵懵懂懂的，
但還是有點茫，
我是保守型的，
他推薦了幾支讓我參考，
在數月前，積極的申請投資機構，
並且投資了這支基金，
期間漲幅不大，
其實我也覺得至少比起活定存來的不錯，
年底前跌多少漲，
我也是覺得，本來就是要承擔一定的風險，
但在這天看到突然負那麼多，
整個傻眼，突破防禦了了了了！！！！
近日因國際戰事關係，
當初根本沒想到我投資這塊，
當我開啟報酬率的時候，
整個驚醒，才想到國際上的影響，
真想呼自己數巴掌。
我跟大哥稍稍哀嚎，
他也是安慰的說，
要練習看趨勢，
這就是經驗
好吧！說的沒錯，就是經驗，
但我總是慢半拍，
加碼慢半拍，趨勢分析慢半拍
我不是小資，也沒有存款，
只能每個月一點點一點點的投資，
也是告訴自己，當作另類的存錢，
只是有盈虧風險。
發文不是哀嚎虧了！
而是抱怨自己為什麼就是看不懂。
最近認識的朋友也不藏私的教導股票概念，
結果每當遇到數字的分析，
我往往計算方式都搞反
真想弄死自己



===============================
更新：

💞在這裡先感謝留言處教導的朋友，非常謝謝願意分享經驗與資訊。💞

👉另外，我不知道是個人閱讀問題還是我的文字表達有問題，
我從頭到尾並不是哭參盈虧問題，
看清楚好嗎？
網路發文並不只是限制於分享成功經驗，
或是資訊交流。
其中還包含，詢問，爆料，抱怨....等等。
你要說玻璃心嘛！不能說沒有，但也還好。
就怕有些自以為的文盲😩
要做投資什麼的，沒錯，我是新手，
但在這之前，雖然沒有完全的了解其攻略，
但也是做好風險的心理建設！ok？👈"
留言,僑光科技大學,2022/2/26 10:44,人生第一支基金,"不會投資也不想學習研究的話
的話可以不要買基金跟股票 
去銀行定存或買儲蓄險吧 沒有風險"
留言,Sunnia,2022/2/26 11:10,人生第一支基金,其實這樣的報酬率跟波動較大的科技型基金比起來算很不錯了。
留言,國立屏東科技大學,2022/2/26 11:47,人生第一支基金,講真的不懂就買0050
留言,實踐大學,2022/2/26 12:08,人生第一支基金,這支不錯 5趴而已真的沒感覺 想想前年3月 我的股票基金都將近-30% 還是挺過來了 如果了解持有的目的 其實對短期的震盪不需要太糾結
留言,兔子,2022/2/26 12:10,人生第一支基金,"我這週未實現損益直接-10W
你這正常啦～～被戰爭影響"
留言,國立中興大學,2022/2/26 12:56,人生第一支基金,"不懂真的直接VT就好
不然就VT+BNDW
關鍵字：指數化投資"
留言,國立金門大學,2022/2/26 14:31,人生第一支基金,還好吧 我也差不多
留言,股狼球隊,2022/2/26 18:19,人生第一支基金,"環資配在過往
股市走向到了牛熊市交界都是會跟跌的
它就是個抗跌抗波動的商品
並不是具有反向作空
能夠扭轉大行情跌勢
這個基金是歷史悠久的東西
退休及養老基金都有投資
喜歡瞭解投資商品
可以追蹤卡稱囉"
留言,綠藻,2022/2/26 23:52,人生第一支基金,"每個人的人生必看書單
《微不平凡》
投資理財教科書當之無愧"
留言,國立成功大學,2022/2/26 23:54,人生第一支基金,一直在哭學習能力差，那你到底做了什麼努力，你看了什麼書，看了哪些資訊，自己都說要長期投資，投十年了嗎，沒有就不要在那哇哇叫，錢領出來 放在枕頭底下最安全
留言,淡江大學,2022/2/27 00:58,人生第一支基金,"這樣還好吧   如果對這支基金有信心
應該要加碼扣啊"
留言,大仁科技大學,2022/2/27 01:59,人生第一支基金,"不會的話就先買儲蓄險或0050吧 
基金慢點買畢竟妳現在都還看不懂"
留言,輔仁大學,2022/2/27 02:18,人生第一支基金,"基金不就長期持有才看得出效益嗎？
我比較好奇你說沒存款這件事……緊急備用金有沒有存夠啊？有閒錢（能長期不動用的）再投資吧……"
留言,高雄醫學大學,2022/2/27 03:23,人生第一支基金,歐印股票市場
留言,second_life_,2022/2/27 03:58,人生第一支基金,買元大高股息就好了啊
留言,龍華科技大學,2022/2/27 06:17,人生第一支基金,"既然妳是保守型那根本無所謂
遇到這種系統性風險
最好的解法就是定期定額 長期投資
當然這也要你相信自己的標的"
留言,國立臺北商業大學,2022/2/27 06:24,人生第一支基金,"這隻也是我基金篩選過後
有定期定額扣款的標的之一
長期走勢持續向上
如果以定期定額的話
就持續讓他扣款
越跌反而能買到更多單位數
自己也可以設定說如果-10%或-20%再做一個加碼的動作
例如每月定期定額120美金 
-10%時 要扣款的那個月就扣到180美金"
留言,國立臺北商業大學,2022/2/27 07:07,人生第一支基金,台灣有沒有成份股類似VDBA或GAA的傳統基金啊？
留言,國立臺中科技大學,2022/2/27 10:40,人生第一支基金,"不是小資也沒有存款
互相矛盾了吧？"
留言,國立臺北大學,2022/2/27 11:44,人生第一支基金,"懶得排版1500時去年底
今年週五1300
定期定額享受波段
最後還是會盈利
我本是400
定期定額停利出清後
所以報酬沒那麼高
今年真的很適合進場等停利"
留言,國立東華大學,2022/2/27 11:49,人生第一支基金,才5趴是在哀什麼？
留言,德明財經科技大學,2022/2/27 13:26,人生第一支基金,我想如果沒有存款也沒有理財的知識真的不要貿然投資，辛苦賺錢結果一下子都沒了不心痛嗎⋯⋯我目前也是靠基金穩定收益8000元，雖然不到財富自由但至少是個收益，我也是小資族，看待金錢更慎重，我覺得大哥教你雖然很好，但多聽多方意見對你也沒有壞處。
留言,明道大學,2022/2/27 15:14,人生第一支基金,我也是跟你買一樣的，只是我是多年前被保險朋友推薦買的，現在就傻傻的放著等時間到要趕快退場
留言,國立臺灣大學,2022/2/27 19:46,人生第一支基金,看來是最後一支
留言,這個人很適合當男性友人,2022/2/28 06:08,人生第一支基金,貝萊德算是蠻知名的投顧公司，我買他們的亞洲老虎債
留言,😎,2022/2/28 09:21,人生第一支基金,定存跟儲蓄險打得過通膨税嗎？
主文,Sunnia,2022/2/26 05:47,我的交易策略,"我follow JG老師的影片有一段時間，他的中心思想是暴賺，不斷強調「看對，下大，抱住」，這點我非常認同，但問題來了，我要怎麼做才是看對？方向一開始就錯誤，後面就會很慘。沁宜做他的專訪影集時，他提到技術分析無用論，對我這位十幾年前就使用技術分析的信徒來說衝擊可是不小，但不得不承認「看漲說漲，看跌說跌」是技術派最讓投資人詬病的可議之處。
自前年11月歷經最後一次回檔之後，美股行情大好，誇張到指數一直往上，看得心超癢卻又擔心大筆美元一投入會接到最後一棒，所以我選擇以富蘭克林國民E帳戶以各1000元台幣購買兩檔科技型的基金來參與市場的行情，萬一回檔，我還可以根據跌幅當做判斷大筆資金進場的依據。
在投資期間我很嚴格控制風險，只要賺5％就停利出場，在反覆停利好幾次，拿賺來一點的小錢，去換取更便宜的美元。雖然比不上放長期累積的帳面報酬，但以目前經濟詭譎多變的股市行情來看，賺來的錢放回口袋才是最實際的。
去年自10月除到11月中期間，股市再次往上到11月15日鮑爾說要縮減購債，市場竟然不跌反漲，我剛好就在這天扣到2000元買兩檔基金，忘了16日還是17日看籌碼時，驚覺主力用力倒貨，我不管才剛扣到的2000元，立即辦理贖回，還好拿回1936元。事後證明，去年11月中是那斯達克指數的最高點(早知就不在11月底去接刀買月配)。話雖如此，我還是採取停利不停扣的交易策略，用意在於判斷我的科技基金帳面虧損的幅度應擴大到多少，才值得我再掏大筆的錢去冒險。方向對了，我才能下大，抱住啊。
下面是我未實現損益的對帳單，我正在等JG說的崩潰線型，如果負報酬能超過30％，我一定會很興奮，萬一等不到，就靠平日累積下來的功力去判斷上車時機。"
留言,安力滿,2022/2/26 06:13,我的交易策略,"您好，我是自學技術分析，沒上過昂貴課程，在市場上22年了，當初也曾受無用論等影響，搖擺不定。
目前心得是，價格的行進可分門別類，各有其大致固定的步驟，只要能辨識各步驟的完成訊息，就能知道看對不對，該下多大，抱到何時。
愚知淺見，請謹慎參酌。"
留言,熟成可不可,2022/2/26 07:00,我的交易策略,2000塊上下的金額不需要什麼投資策略了吧，另外學了那麼多策略怎麼還是負的？
留言,MarchingPark,2022/2/26 07:28,我的交易策略,"可以去了解一下威廉.歐尼爾和Mark Minervini
後者今年又再一次贏得美國投資冠軍
他們對我影響很大
不論是技術面、基本面 、風險控管…
至於JG 我認為他的方式其實不容易做的好
非常吃基本面的判斷能力
而且他講的都比較攏統 
光看他的YT 很難學的好
太多心法了 沒有實務操作面
也許要買課程才會有操作細節吧？
操作才是賺不賺錢的重點 
心法是從多年的操作演變來的公式
有公式不代表有理解甚至懂操作
至於什麼技術面無用論
就是技術面輸家說的話而已
市面上的技術面的確無用
該學的是真正的技術面
建議妳去看看歐尼爾和mark
不跟你有的沒的 就是滿滿的乾貨
我也看過一堆書 老師 分析師 達人 youtuber podcast 課程 基本上很難學到好東西 甚至因此賠錢
我只推歐尼爾和mark
都有出書 會讓妳看到新世界"
留言,國立臺灣大學,2022/2/26 08:09,我的交易策略,"下大 抱住 就是賭博罷了
就像你說的你怎麼知道方向看對
反正不是漲就是跌嘛
賭對幾次然後越壓越大
這種人早晚把自己的本賠光
真正的交易者才不會做這種蠢事
風險永遠是交易者的首要考量"
主文,日本熊本大學,2022/2/24 04:51,#其他 國安基金是不是進場護盤了啊？,"剛剛看殺盤還殺得很爽，結果突然台積電直接被拉了3檔價，這拉法怎麼像是國家在護盤啊？
而且昨天國安基金也有出來發新聞，怎麼看都像八大長老在護盤了？大家怎麼看？
#坐等便宜的GG"
留言,黃金水岸第一排的樹苗,2022/2/24 04:54,#其他 國安基金是不是進場護盤了啊？,"烏俄戰爭損失最慘重？
A.美國
B.俄羅斯 
C.烏克蘭
D.我的倉位"
留言,敏實科技大學,2022/2/24 04:55,#其他 國安基金是不是進場護盤了啊？,幹嘛護 低接績優股不好嗎
留言,國立成功大學,2022/2/24 05:00,#其他 國安基金是不是進場護盤了啊？,我朋友剛買了20張
留言,黃金水岸第一排的樹苗,2022/2/24 05:01,#其他 國安基金是不是進場護盤了啊？,B3 ...？20張GG 你朋友大戶ㄛ 是20股吧
留言,原Po,2022/2/24 05:07,#其他 國安基金是不是進場護盤了啊？,結果剛剛拉的三檔價現在又跌到最低點了
留言,黃金水岸第一排的樹苗,2022/2/24 05:18,#其他 國安基金是不是進場護盤了啊？,坐等下探500
留言,中華大學,2022/2/24 05:44,#其他 國安基金是不是進場護盤了啊？,"想問一下，為什麼股票大跌國安基金要護盤啊？
是因為不護盤的話國家會不安全嗎？"
留言,嶺東科技大學,2022/2/24 11:02,#其他 國安基金是不是進場護盤了啊？,這時間點是不可能進場護盤的
留言,淡江大學,2022/2/24 11:33,#其他 國安基金是不是進場護盤了啊？,"這禮拜才跌不到10%沒可能
去年五月殺成那樣國安也只是空喊而已"
留言,國立高雄應用科技大學,2022/2/24 11:56,#其他 國安基金是不是進場護盤了啊？,應該要到年線才會開始護盤
留言,國立成功大學,2022/2/24 11:58,#其他 國安基金是不是進場護盤了啊？,今天外資倒500億，法人這幾天倒一千多億了，國安基金再有錢也守不住啦
留言,Sunnia,2022/2/24 12:09,#其他 國安基金是不是進場護盤了啊？,台股跌破十年均線，國安基金才會進場。
留言,阿胖變瘦中,2022/2/24 13:56,#其他 國安基金是不是進場護盤了啊？,還這麼高 是要護什麼盤
留言,老菜雞,2022/2/24 15:58,#其他 國安基金是不是進場護盤了啊？,沒護盤呀，還在安全範圍內，而且台灣政策最智障的是護盤這個舉動，然而這對一般散戶來說是救命稻草，這個想法才是最智障的。
留言,你好,2022/2/24 16:29,#其他 國安基金是不是進場護盤了啊？,"美股還在跌 台股明天應該也是跌不停
台積電ADR跌5%了"
留言,國立嘉義大學,2022/2/25 05:56,#其他 國安基金是不是進場護盤了啊？,"萬八要護什麼？？？
好歹跌到萬五再來講內～啊跌就撿"
留言,嶺東科技大學,2022/2/25 07:49,#其他 國安基金是不是進場護盤了啊？,國安基金 上次也只是喊一下 後來才爆出 根本沒投多少錢
留言,國立成功大學,2022/2/25 10:30,#其他 國安基金是不是進場護盤了啊？,"17000護什麼盤
撿便宜好嗎
台股一直想衝
被美股拉住
又短期戰爭因素
不加碼傻傻"
留言,國立中興大學,2022/2/25 12:20,#其他 國安基金是不是進場護盤了啊？,"美其名是護盤實際就是為了賺錢而買
拿那一點錢就要護盤 不要太天真了"
主文,國立臺灣師範大學,2022/2/24 04:27,#新聞 民眾自主與退休規畫 基金投資大轉變,"民眾自主與退休規畫-基金投資大轉變
該篇新聞民調的重點整理
- 調查有關退休規畫與勞退新制，受訪民眾認為應該開始準備退休金的年齡中位數為40，平均數為38，說明國人開始進行退休準備有明顯年輕化的趨勢
- 6成的民眾已開始準備退休金，主要還是透過儲蓄(75%)、股票(69%)和個人保險(61%)進行規劃，共同基金與ETF只各佔1/3
- 其中年紀越小越偏好ETF，年紀越大則偏好共同基金，且以固定收益型基金為主，說明年紀越大越保守
- 每個月的理想退休生活開銷最多民眾認為介於30001~50000元
- 有高達70%受訪民眾願意參加勞退自選投資平台，與前年(2020年，72%)的結果很相似。
- 民眾願意參加勞退自選投資平台的主要原因：
有72%認為是可以依照自己狀況選擇投資工具，
且46%相信長期下來也會有更好的績效，
而30%不願意參加的主要原因除了有56%擔心賠錢之外，
30%是不知如何選擇標的與30%是不具備相關金融知識與投資經驗
---
開始準備退休金的年齡是38-40歲，我以為30歲就要有準備退休金的意識了耶
越早準備退休越好吧?把時間拉越長，複利效果也越好
而且70%的民眾願意參加勞退自選，我也覺得不錯
勞工們越早意識到要規畫退休金，養成理財意識
而且之前基富通好享退跟現在推的好好退休，方案規劃和結果都蠻好的
也都可以作為參照或是替代方案
不規劃個勞退自選，民眾也只知道靠北勞保要破產
或是今天勞退基金，政府又幫大家賠了多少錢，自選的情況下，國人也會有損益自負的意識的"
留言,輔仁大學,2022/2/24 05:53,#新聞 民眾自主與退休規畫 基金投資大轉變,這次的好好退休就吸引很多年輕人參加，40歲以下的客群增加很多~~~真的有年輕化
留言,輔仁大學,2022/2/24 06:00,#新聞 民眾自主與退休規畫 基金投資大轉變,好好退休現在就可以先參加，越早準備越好
留言,TK,2022/2/24 13:11,#新聞 民眾自主與退休規畫 基金投資大轉變,自選的機制會更好，比照美國勞工退休基金機制也會更好，台灣大概可以持續往那個方向走
留言,哭啊 為什麼不能改,2022/2/24 13:21,#新聞 民眾自主與退休規畫 基金投資大轉變,現在理財的方式真的百百種，對於各個年齡層都是需要不斷學習的事….. 年紀越大越偏好共同基金，台灣老人普遍都喜歡月配息基金呀...而且是超愛
留言,張まる∠( ᐛ 」∠)＿,2022/2/24 13:26,#新聞 民眾自主與退休規畫 基金投資大轉變,你確定國人真的會有損益自負的想法嗎?會不會一樣靠北政府給爛基金給大家選???
留言,國立臺灣藝術大學,2022/2/24 13:40,#新聞 民眾自主與退休規畫 基金投資大轉變,好享退和好好退休都是想推動民眾有投資理財意識呀...早點有理財觀念，才不會變韭菜
留言,Jessie,2022/2/24 13:56,#新聞 民眾自主與退休規畫 基金投資大轉變,理想的退休開銷是每月三萬-五萬，勞保跟勞退根本就不夠，有多少人真的知道這件事呢?
留言,不想努力,2022/2/24 14:45,#新聞 民眾自主與退休規畫 基金投資大轉變,我也覺得投資理財的觀念越早建立越好
留言,國立臺灣藝術大學,2022/2/25 01:33,#新聞 民眾自主與退休規畫 基金投資大轉變,哇，股票規劃竟然超過保險了
留言,Java,2022/2/25 06:05,#新聞 民眾自主與退休規畫 基金投資大轉變,我也是參加好好退休才開始研究基金股票的...最近通膨這麼嚴重，真的非常有感投資的重要性
主文,國立臺灣藝術大學,2022/2/19 04:31,小資族理財規劃請益,"不好意思，小弟理財新手，
以下是目前的規劃
希望各位可以多給我一些建議
1.出社會工作四年了，目前身上25萬的積蓄，五萬作為緊急預備金，剩下的20萬想要全部拿去買安聯的南非幣基金，月配息大概為0.7%，每個月大概可以領到1400元。
2.另外每個月有15000元薪資可以拿出來定期定額投資，目前是想規劃5000元買安聯大壩、5000元買安聯收益成長基金（美金）、5000元買0050或0056。
想請大家幫我看一下，這樣分配合適嗎？怎樣調整會比較好呢，另外如果已經有買安聯大壩跟美金基金了，剩下的5000元投資0050比較好還是0056呢？
再請各位先進指導，非常感謝"
留言,國立臺北商業大學,2022/2/19 06:10,小資族理財規劃請益,年輕的時候建議買指數型ETF，0050內扣較高，有考慮選006208嗎?
留言,國立中央大學,2022/2/19 06:43,小資族理財規劃請益,去看醫生 別幻想太多
留言,國立雲林科技大學,2022/2/19 07:24,小資族理財規劃請益,安聯的年化報酬有多少阿 有4%再考慮 我覺得把錢投在006208比較值得
留言,國立清華大學,2022/2/19 08:58,小資族理財規劃請益,"不要為了追求每月配息買奇怪的商品
不要為了追求每月配息買奇怪的商品
不要為了追求每月配息買奇怪的商品
南非幣 幣值不穩定 升息循環新興國家更慘 再來每個月配息很有可能是會扣本金的配息 請多參閱產品說明書 這個二十萬不如等台股大幅回檔你再分批丟入比較實際
補充說明 高配息的奇怪國家商品可以 google 搜尋都有很多相關新聞 不要亂花錢"
留言,Juan,2022/2/19 11:02,小資族理財規劃請益,"1.安聯南非幣如果是安聯收益成長基金可以買，但你要考慮一下匯差風險。另外教你看一下基金會不會配到本金：攤開每年績效來看，分別有一年、三年、五年若有大於配息就不用擔心配本金問題。舉例來說：基金年配息10%，一年績效13%、三年績效40%、五年績效65% ，意思是一年績效除了利息10%淨值還增長3%、三年績效除了利息10%*3淨值還增長10%，以此類推。
2.安聯收益成長基金應該跟你提到的南非幣基金是一樣或是很像的東西（因為沒提供標的所以我只是猜測），考量風險分散的問題不要重複投入，另一方面安聯收益成長大部分人會做配息型，定期定額比較不適合，而累積型則有更好的標的可選擇。
安聯台灣大壩就是積極型的台股基金，跟0050或0056績效可以做一下功課擇一投入就好，因為資金不多標的也不要過度分散，且找同地區或同類型的標的分散投入也沒有太大意義⋯
3.0050跟0056定期定額的選擇看你想要賺價差還是領配息，賺價差選0050領利息選0056。"
留言,國立臺北商業大學,2022/2/19 17:57,小資族理財規劃請益,"提醒一下 南非幣相對不穩定哦 樓上他們講的要參考一下～
如果要買安聯成長那隻的話我建議考慮美金會比較好 除非你很看好南非幣可以回到3元！？
南非幣的我之前也有買 但我的匯率在1.5左右而且那時標的淨值算低點 
他漲到1.8 1.9的時候我已經沒繼續扣了 就放著領月配 等要用錢我才會贖回"
留言,德明財經科技大學,2022/2/20 05:14,小資族理財規劃請益,"你好，南非幣動盪很大，賺錢很辛苦，我覺得你先在看看其他支基金，我自己是買聯博的，每個月固定有8000元的收益，但也是聽我的理財顧問的建議，不是理專是私人的市場專家，如果你想了解投資市場，可以推薦給你，畢竟年紀小好好投資，未來的收益是非常好的，想了解可以➕我IG：lisa9061717,我不是詐騙"
留言,Sunnia,2022/2/20 10:12,小資族理財規劃請益,股市在高位階，建議投資0056。
留言,不知所云,2022/2/20 23:56,小資族理財規劃請益,南非幣⋯⋯，賺配息，賠本金。前人血淋淋的例子一堆啊！
留言,啊咚,2022/2/21 05:50,小資族理財規劃請益,半年生活費比較保險，5萬可能不足
主文,中國文化大學,2022/2/18 16:20,請問有投過此基金ㄉ大大嗎！,"我近期研究各種基金，最終選擇了這個！（目前為定期定額$3000）
柏瑞中國平衡基金（月配現）（新台幣）
參考申購淨值：7.7608
風險屬性：穩健型
三個月累積報酬率：-2.72%
///
上網找好多資料都沒有人分享此檔基金的心得（只有柏瑞投信的官網）
*會選擇這個是因為我直接在中信的app購買，上面有測評風險，最後測出我是穩定型，因此沒有太多選擇於是就他了（不管怎麼更改測驗結果都是穩定型，可能是年紀太小目前23歲大四學生，因此系統直接認定穩定型）
不知道有沒有人可以分享一下經驗"
留言,輔仁大學,2022/2/19 04:19,請問有投過此基金ㄉ大大嗎！,我個人是不買中國貨啦 當然投資也是
主文,臺北城市科技大學,2022/2/17 08:56,基金,"弱弱的問 這隻(元大台灣高股息優質龍頭基金-新台幣A類型)有必要留嗎 還是要賣掉
本人目前只有買這個 想問問大家意見
因為沒什麼在研究 是上一間公司的老闆娘說可以買就買了"
留言,嘉南藥理大學,2022/2/17 09:05,基金,"賣吧
你不懂的東西
趁還沒虧損
可以上岸了
不然基本可以放"
留言,慈濟科技大學,2022/2/17 11:33,基金,妳定期定額多久了？
留言,國立勤益科技大學,2022/2/17 13:17,基金,這還好吧 看你自己評估
留言,Slash,2022/2/18 01:06,基金,這跟0056有差別嗎
留言,Sunnia,2022/2/18 13:41,基金,找不到賣的理由。
留言,艾迪,2022/2/19 14:09,基金,"投資是長期投資 不是想說報酬平平就想要賣
如果想出就出場吧"
主文,國立高雄科技大學,2022/2/17 05:39,海外基金請益,"#錯版的話先致歉
是這樣的，想請問基金淨值跟回報的%數有什麼關係呢？假設公司今天回報是漲5.4%，帳戶顯示那支基金原本賠12%，會變賠6.6%嗎？
因為銀行回報的%數跟我們用公司回報的%數所計算出來的有出入，以上面的來說，我們算是剩虧6.6%，但銀行給我們回報的是賠7.1%之類的，銀行回覆的方式是說要看淨值去算%數，但是為什麼不是直接看%數呢？
內容很亂真的不好意思，真的不太了解，所以可能看不是很懂，有問題歡迎指教"
留言,狂徒,2022/2/17 05:57,海外基金請益,"計算基準點不同，通常漲跌幅都是和前日相比
(1-0.12)×(1+0.054)
=0.88×1.054
=0.92752"
